palabra,cuenta
haters,45
smoking,44
que,39
querer,36
pero,27
vivir,27
no,25
el,19
se,19
layback,19
pandilla,19
yaa,18
vida,17
for,16
porque,16
si,16
jordan,16
morir,16
rap,15
my,15
ohh,15
en,14
ya,14
make,14
music,14
people,14
por,14
me,14
un,14
así,13
formar,13
solo,13
déjame,13
con,12
estilar,12
es,12
burdo,12
...,12
caminar,12
hip,11
decir,11
,11
ver,11
ahora,11
tengo,11
estar,11
bailar,11
culo,10
jugar,10
mundo,10
michael,10
la,10
volar,10
odiar,10
perro,10
ladrar,10
morder,10
hindú,10
cantar,9
hop,9
put,9
you,9
hands,9
man,9
yo,9
his,9
royal,9
airness,9
año,9
de,9
rojo,9
sentir,9
yeh,9
porro,9
sonar,8
hablar,8
escuchar,8
dejar,8
ganar,8
men,8
lo,8
hey,8
prender,8
rumba,8
boombox,8
amor,8
mochador,8
inglés,8
rayar,8
pared,8
boom,8
falling,8
warrior,8
corriente,8
chapulin,8
poner,7
maracay,7
pa,7
como,7
allá,7
