palabra,cuenta
sonar,30
dímelo,24
querer,23
hora,20
decir,17
mirar,16
levantar,15
pie,15
caer,15
pesar,14
solo,14
sentir,12
doctrinar,12
shock,12
control,10
volver,10
hacer,9
rebótala,9
pensar,9
pase,9
desliz,9
natural,8
bailar,8
temer,8
sensación,8
humanidad,8
quedar,7
malo,7
perder,7
provocar,7
mil,6
dolor,6
valer,6
recáe,6
ver,6
uhh,6
polo,6
you,6
tocar,5
quítala,5
comenzar,5
problema,5
sol,5
verte,5
importar,5
cuerpo,5
simple,5
gritar,5
vendras,5
derecho,5
cambiar,5
cero,5
quemar,4
tentar,4
agregar,4
mirándote,4
brazo,4
cruzar,4
esperar,4
seguir,4
talvez,4
ir,4
matar,4
uh,4
cuestión,4
iniciar,4
changed,4
don't,4
arar,4
menor,4
rechazar,4
apartar,4
invierno,3
fuerte,3
morir,3
vestir,3
siento,3
ganar,3
miedo,3
caminar,3
rapido,3
locura,3
hablar,3
cielo,3
vije,3
regresar,3
recuerdo,3
tan,3
llevamé,3
vida,3
funcionar,3
luz,3
personar,3
engañar,3
podriamos,3
negar,3
fondo,3
amar,3
extrañar,3
llover,3
enlazar,3
tropezar,3
tener,3
esconder,3
amanecer,3
escapar,3
claro,3
mundo,3
mover,3
herir,3
blanco,3
marcar,3
obstáculo,3
impedir,3
continuar,3
monólogo,3
discurso,3
incoloro,3
millón,3
coro,3
tono,3
convicción,3
basto,3
robar,3
trono,3
podrir,3
orar,3
riqueza,3
tesoro,3
permitir,3
doler,3
razón,2
forzar,2
primavera,2
pasamos,2
trotar,2
carrera,2
roca,2
rebotar,2
paso,2
pelota,2
desvanecer,2
dejarme,2
vencer,2
equipar,2
esquinar,2
pintar,2
jugar,2
disfrasece,2
empezar,2
