palabra,cuenta
querer,36
smoking,29
vivir,23
pandilla,19
morir,16
vida,15
make,14
people,14
formar,13
solo,13
estilar,12
rap,12
burdo,12
caminar,12
déjame,12
ver,11
tengo,11
bailar,11
culo,10
decir,10
jugar,10
mundo,10
volar,10
jordan,10
odiar,10
perro,10
ladrar,10
morder,10
hindú,10
cantar,9
put,9
you,9
hands,9
man,9
año,9
rojo,9
sentir,9
estar,9
yeh,9
porro,9
sonar,8
hablar,8
ganar,8
men,8
prender,8
rumba,8
boombox,8
mochador,8
inglés,8
rayar,8
pared,8
warrior,8
corriente,8
chapulin,8
poner,7
hop,7
barrio,7
escuchar,7
manir,7
vacilar,7
casar,7
miedo,7
fumar,7
falto,7
ojos,7
chilin,7
pensar,6
dar,6
llegar,6
lograr,6
encontrar,6
derecho,6
zurdo,6
venir,6
mirar,6
pasar,6
andar,6
ponerno,6
three,5
real,5
bola,5
importar,5
hacer,5
entender,5
final,5
dejar,5
gente,5
negro,5
amor,5
niño,5
único,5
cuerpo,5
salir,5
frente,5
muerte,5
malo,5
conocer,4
echar,4
vaina,4
nombrar,4
meter,4
cerrar,4
comer,4
terminar,4
bulls,4
play,4
par,4
serio,4
partir,4
regresar,4
cambiar,4
mujer,4
tener,4
enamorar,4
gustar,4
beber,4
seguir,4
ir,4
mami,4
músico,4
negativo,4
votar,4
inerte,4
bombo,4
papel,4
vecino,4
brutal,3
escribir,3
cantante,3
romper,3
mamar,3
penar,3
temer,3
subir,3
mano,3
cometer,3
caro,3
joder,3
disculpar,3
sinceridad,3
creer,3
besar,3
corazón,3
problema,3
feo,3
loco,3
primero,3
agarrar,3
enterar,3
mover,3
