palabra,cuenta
ver,20
muerte,18
cantar,15
tratar,15
creer,14
voz,14
soñar,14
coger,14
mundo,13
pensar,13
real,13
gente,13
vivir,13
morir,13
escribir,13
hacer,13
hablar,13
vida,12
querer,12
rap,12
made,12
of,12
stone,12
decir,11
sentir,11
rimar,11
jurar,11
jugar,10
canción,9
escuchar,9
caro,9
falto,9
ganar,9
ojo,9
basto,8
músico,8
hop,8
piedra,8
frente,8
feliz,8
nacer,7
temer,7
venir,7
puño,7
respetar,7
pasar,7
mirar,7
poblar,7
preguntar,7
olvidar,7
cambiar,6
barrio,6
don,6
parecer,6
tiempo,6
seguir,6
noche,6
hecho,6
paso,6
move,6
got,6
dar,6
despertar,6
encontrar,6
alcanzarte,6
penar,6
mierda,5
luz,5
saber,5
sonar,5
dudar,5
mil,5
maldito,5
cuartar,5
representar,5
paz,5
gritar,5
país,5
racismo,5
clima,5
contar,5
abrir,5
recordar,5
gota,5
's,5
corazón,4
llamar,4
esquinar,4
llegar,4
ayudar,4
helar,4
conocer,4
proponer,4
subir,4
manir,4
oír,4
sacar,4
grabar,4
callar,4
hijo,4
amar,4
vestir,4
echar,4
noto,4
madre,4
estúpido,4
perder,4
pobre,4
loco,4
people,4
that,4
downtown,4
llevamos,4
huadan,4
clasismo,4
llorar,4
poner,4
understand,4
responder,4
anciano,4
dormir,4
reír,4
tipo,4
criticar,4
estar,4
hartar,4
gris,4
tomar,3
concienciar,3
bis,3
acabar,3
ve,3
tierra,3
muerto,3
hermanar,3
lanzar,3
eterno,3
mente,3
razón,3
problema,3
vender,3
rapero,3
mentir,3
aprender,3
perfecto,3
valer,3
asesinar,3
ghetto,3
entender,3
caja,3
