palabra,cuenta
high,15
hungry,14
bye,14
still,13
the,13
dann,13
like,11
mic,11
manir,11
white,10
on,9
nigga,9
your,9
little,9
and,9
this,8
causar,8
put,8
that,7
mijo,7
rimar,7
real,7
get,7
sonar,6
poner,6
hiphop,6
flow,5
's,5
it,5
i'm,5
area,5
boom,5
got,4
tenemos,4
hambre,4
ganar,4
celebrar,4
cenar,4
stay,4
dejar,4
salir,4
pasar,4
escuchar,4
querer,4
rap,4
tarima,4
was,4
born,4
take,4
power,4
mark,4
planet,4
special,4
forces,4
mil,4
oreja,4
enemies,4
superior,4
know,3
my,3
own,3
gustar,3
rep,3
what,3
good,3
you,3
better,3
yeah,3
worry,3
entender,3
caminar,3
vaina,3
mierda,3
soñar,3
vivir,3
volver,3
llegar,3
casar,3
ver,3
estilar,3
don't,3
año,3
underground,3
sonido,3
fake,3
adivino,3
illa,3
with,3
fiel,3
supremez,3
clasico,3
we,3
supa,3
niggaz,3
says,3
guy,2
straight,2
shit,2
fear,2
out,2
check,2
track,2
fellas,2
gonna,2
quejar,2
perder,2
gente,2
llamar,2
suerte,2
mente,2
venir,2
relajar,2
hacer,2
mercar,2
escribir,2
presumir,2
pagar,2
pensar,2
tomar,2
papel,2
jugar,2
if,2
ritmar,2
battle,2
parir,2
verso,2
llevar,2
importar,2
soltar,2
crew,2
voz,2
illest,2
top,2
clique,2
spray,2
life,2
to,2
stop,2
make,2
happen,2
keep,2
classic,2
marcar,2
planeta,2
banda,2
mesar,2
orar,2
sentir,2
legar,2
mirar,2
