palabra,cuenta
venir,55
loco,24
querer,18
mirar,18
noche,17
tocar,16
servir,16
sábana,16
gua,13
cabeza,12
chorro,12
ver,12
fiesta,12
gente,10
meter,9
decir,9
crema,9
poner,8
rimar,8
lechón,8
jamón,8
vo'a,8
poblar,8
mira,8
único,8
casar,7
escuchar,7
sentir,7
tirar,7
vender,7
13,7
puré,7
llorar,7
frente,6
tengo,6
hambre,6
mundo,6
dejar,6
teta,6
comer,6
cerebro,6
tener,6
mente,6
piel,6
bailar,6
traer,6
culpar,6
matar,6
herrar,6
huevar,6
yema,6
avenar,6
protagonista,6
escena,6
dar,5
par,5
barriga,5
culo,5
mesar,5
gustar,5
personal,5
morir,5
entender,5
sangrar,5
viejo,5
desayunar,5
callar,5
barrio,5
cuello,4
pistar,4
bajar,4
gallar,4
leche,4
pato,4
fucking,4
llevar,4
sacar,4
hombre,4
caro,4
picar,4
ofrecer,4
millón,4
mamón,4
pasar,4
caer,4
salir,4
robar,4
enano,4
importar,4
respetar,4
botar,4
pie,4
letra,4
urbano,4
lubricación,4
familia,4
mover,3
estar,3
luz,3
tumbar,3
gritar,3
corazón,3
salivar,3
parrilla,3
coro,3
barato,3
clase,3
escupir,3
rap,3
favor,3
seguir,3
lento,3
levantar,3
cerveza,3
carro,3
lengua,3
inteligente,3
cantar,3
mitad,3
gemelo,3
bañar,3
tapar,3
temer,3
vena,3
papar,3
amor,3
oír,3
profundar,3
ganar,3
aguantar,3
caminar,3
escribir,3
cruzar,3
aburrir,3
pierna,3
dale,3
durar,3
empujar,3
what,3
género,3
llegar,3
azafata,3
coger,3
cocodrilo,3
vida,3
mil,3
hacer,3
aplastar,3
that,3
rebelde,3
