palabra,cuenta
querer,122
tirar,44
llegar,41
ver,41
loco,34
poner,32
mami,30
meter,30
dame,30
botella,30
vamo'a,29
oye,28
pagar,27
gustar,26
traer,26
negro,24
gente,24
pasar,24
coser,23
sentir,23
oír,23
aguantar,23
pana,22
mover,22
tego,21
venir,21
matar,21
llamar,21
caro,21
creer,20
tener,20
bailar,20
decir,19
negrito,18
penar,18
mujer,18
ir,17
perder,16
llevar,16
malo,16
killer,16
hacer,16
salir,15
dejar,15
tengo,15
calderon,15
doler,15
cuerpo,14
cantar,14
buscar,14
callar,14
chance,14
mundo,13
gozen,13
acabar,13
bonito,13
hablar,13
mirar,13
ser,13
apoyar,13
llorar,13
consejo,12
bregar,12
falto,12
lirica,12
paso,12
gritar,12
what,12
paciencia,12
color,12
owe,12
ohhh,12
esperar,11
viejo,11
cantante,11
peligrar,11
monstruo,11
sabio,11
mai,11
valer,11
pario,11
you,11
calde,10
vida,10
jugar,10
sufrir,10
explotar,10
flow,10
dueño,10
masacote,10
lejito,10
estar,10
sacar,10
know,10
quedar,10
reggaeton,10
entregar,10
jaja,10
saber,9
cabron,9
hijo,9
papi,9
servir,9
grande,9
guasa,9
balar,9
puñeta,9
ojo,9
cristal,9
derecho,9
dar,9
vender,9
durar,9
sabor,9
fiesta,9
bad,9
gato,8
dale,8
joder,8
chocar,8
vestir,8
miedo,8
personar,8
mero,8
perro,8
gonna,8
compay,8
fumaria,8
bonsai,8
ley,8
blanco,8
to,8
baile,8
pide,8
man,8
pensar,7
respetar,7
disco,7
pendiente,7
seguir,7
abusador,7
publicar,7
hey,7
lindo,7
serio,7
casar,7
quedo,7
beber,7
mentira,7
nacer,7
