palabra,cuenta
suave,79
quiero,77
vienen,57
cae,50
mundo,46
gente,41
tengo,41
mira,38
gusta,32
noche,31
gorda,29
cabrón,28
vale,28
13,28
gua,27
avión,27
importa,25
tienes,25
noro,24
siento,23
quieres,21
vida,21
cara,20
amor,20
sirve,20
sábana,20
música,19
vo'a,19
dale,19
bailar,18
cabeza,17
pongo,16
casa,16
loco,16
timba,16
leche,15
vas,15
toca,15
fuego,15
cuello,14
crema,14
pista,14
par,14
locos,14
hey,14
culpa,13
agua,13
culo,13
fiesta,13
pueblo,13
chupan,13
corre,13
salsa,12
coro,12
tipo,12
doy,12
hombre,12
eeee,12
color,12
chorro,12
respeto,12
animal,12
único,12
canción,12
puerta,12
lloren,12
pelo,11
verga,11
vengo,11
pito,11
veo,11
frente,10
pone,10
darle,10
piernas,10
lengua,10
sexo,10
das,10
dejo,10
fucking,10
asiento,10
pies,10
sangre,10
vueltas,10
faltarnos,10
desayuno,10
identidad,10
pa'l,9
volumen,9
caminar,9
traigo,9
hablar,9
tetas,9
deja,9
boca,9
sopa,9
bomba,9
caliente,9
nombre,9
barrio,9
